country,co2,consumption_co2,co2_growth_prct,co2_growth_abs,trade_co2,co2_per_capita,consumption_co2_per_capita,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_per_gdp,consumption_co2_per_gdp,co2_per_unit_energy,coal_co2,cement_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,cement_co2_per_capita,coal_co2_per_capita,flaring_co2_per_capita,gas_co2_per_capita,oil_co2_per_capita,other_co2_per_capita,trade_co2_share,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
Malawi,50.699,67.173,207.09,1.16,36.753,6.334,5.161,0.05,1385.34,0,7.86,4.872,5.463,12.324,3.417,,,34.967,,0.396,2.051,,,3.888,,3593.16,0.78,0.09,,,0.43,,85.26,454.493,,,845.581,,0.66,0,,,0.19,,472.23,38.797,205,16.645,67.67,5.317,610249423,5.53669E+11,220.704,19823.326,19.45
Malaysia,6071.963,4659.721,2359.41,272.822,-370.15,271.989,177.242,23.43,103040.613,9.9,31.683,11.09,13.533,1137.53,263.391,287.266,1731.651,2652.133,,11.026,47.865,12.833,66.245,134.022,,-201.59,31.29,9.47,94.8,31.1,33.86,,4197.707,13441.977,5429.675,22801.393,57023.526,,18.6,2.62,44.72,13.28,22.08,,6498.47,274.461,1085.38,44.233,259.4,10.553,1439872344,1.42038E+13,25286.261,1044298.009,84.281
Maldives,24.913,,743.93,1.795,,67.526,,0.01,278.116,0,,,11.179,,,,,24.913,,,,,,67.526,,,,,,,0.19,,,,,,278.116,,,,,,0,,21.67,62.479,2.01,6.208,0.42,1.246,13752766,,89.076,257561.262,
Mali,63.32,,520.7,3.348,,5.011,,0.15,965.111,0,3.991,,8.026,,2.231,,,61.086,,0.147,,,,4.863,,,0.19,,,,0.49,,15.647,,,,944.879,,0.01,,,,0.17,,873.03,70.53,405.93,32.465,257.53,20.704,616506033,6.70132E+11,210.374,16461.555,16.888
Malta,104.588,140.459,247.78,1.351,67.316,276.408,346.495,0.36,2596.436,0.25,27.322,15.883,6.534,6.41,,,2.643,95.515,0.022,,17.972,,6.009,252.356,0.057,3032.89,,0.08,,0.04,1.08,0,,212.936,,6.397,2373.944,0.433,,0,,0,0.8,0,74,185.878,5.6,14.029,1.46,3.672,25530560,3.28699E+11,588.047,1476019.292,78.601
Marshall Islands,3.419,,70.51,0.076,,62.306,,0,45.518,0,,,,,,,,3.419,,,,,,62.306,,,,,,,0,,,,,,45.518,,,,,,0,,2.8,52.267,0.78,14.672,0,0,1672449,,,,
Martinique,88.273,,444.15,2.301,,241.007,,0.4,1971.382,0.07,,,9.953,,,,,88.273,,,,,,241.007,,,,,,,0.98,,,,,,1971.382,,,,,,0.48,,,,,,,,24001771,,276.689,731126.912,
Mauritania,75.634,,1146.77,3.348,,29.543,,0.18,1457.708,0,15.106,,9.037,0.441,,,,75.195,,,0.276,,,29.268,,,,0,,,0.75,,,7.365,,,1440.742,,,0,,,0.34,,265.97,92.517,145.65,50.04,68.4,23.459,138760429,2.75663E+11,290.238,110609.912,55.968
Mauritius,115.76,134.683,419.36,3.779,41.509,101.584,111.401,0.31,2135.723,0.14,8.323,6.939,6.56,30.743,,,,85.021,,,25.633,,,75.953,,1538.32,,0.21,,,0.97,,,373.647,,,1760.015,,,0,,,0.52,,120.86,100.133,38.24,31.808,6.74,5.672,69233865,7.44128E+11,480.095,404775.549,29.98
Mayotte,6.518,,161.57,0.24,,34.638,,0,81.414,0,,,,,,,,6.518,,,,,,34.638,,,,,,,0,,,,,,81.414,,,,,,0,,,,,,,,5601621,,,,
